Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
825,flat,shapoorji pallonji joyville gurugram,sector 102,2.15,12707.0,3,3,3,10.0,Relatively New,1690.0,0,0,0,0,0,1,49
827,flat,unitech the residences,sector 33,1.35,8738.0,3,4,2,8.0,Moderately Old,1398.0,0,1,0,0,0,0,49
828,flat,today callidora,sector 73,0.9,5549.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,0,63
829,flat,experion the heartsong,sector 108,0.9,7015.0,2,3,3,2.0,Relatively New,978.23,0,1,0,0,0,0,94
830,house,independent,sector 26,4.5,33333.0,3,3,2,2.0,Old Property,1350.0,0,0,0,1,0,1,58
831,flat,bestech park view residency,sector 2,1.4,7865.0,3,3,3+,8.0,Moderately Old,1611.0,0,0,0,0,0,0,92
832,flat,la vida by tata housing,sector 113,1.85,11716.0,3,2,2,7.0,New Property,1429.0,0,0,0,0,0,0,13
833,flat,ambience creacions,sector 22,4.3,13916.0,3,4,3+,6.0,Relatively New,2600.0,0,1,0,0,1,2,120
834,flat,suncity avenue,sector 102,0.47,8935.0,2,2,1,5.0,Relatively New,582.0,0,0,1,0,0,0,142
835,flat,ats kocoon,sector 109,2.2,10023.0,3,4,3,8.0,Relatively New,1860.0,0,1,0,0,0,0,156
836,flat,signature global park,sohna road,0.53,6386.0,2,2,2,2.0,Relatively New,913.0,0,0,0,1,0,0,168
837,house,independent,sector 53,4.0,17778.0,5,5,2,3.0,Relatively New,2250.0,1,0,0,0,0,0,23
838,flat,signature global solera,sector 107,0.35,6399.0,2,2,2,8.0,Relatively New,608.0,0,0,0,0,0,0,45
839,flat,brisk lumbini terrace homes,sector 109,1.5,6617.0,3,3,1,4.0,New Property,2519.0,0,1,0,0,0,0,37
840,house,independent,sector 11,0.9,10000.0,7,4,3+,4.0,Moderately Old,900.0,0,0,0,0,0,0,7
841,flat,my home,new sector 2,0.22,4400.0,2,2,1,1.0,New Property,556.0,0,0,0,0,0,1,0
842,flat,sare homes,sector 92,0.58,4099.0,3,3,3,3.0,New Property,1281.0,0,0,0,0,0,0,54
843,flat,orchid petals,sector 49,4.52,10984.0,5,5,3+,14.0,Moderately Old,3724.0,1,1,0,1,0,0,49
844,flat,dlf the skycourt,sector 86,1.59,8243.0,3,3,3,17.0,Relatively New,1700.0,0,0,0,0,1,1,165
845,flat,rof ananda,sector 95,0.2,5464.0,1,1,1,10.0,Relatively New,407.0,0,0,0,0,0,0,82
846,flat,signature the serenas,sohna road,0.45,8475.0,2,2,1,10.0,New Property,590.0,0,0,0,0,0,0,23
847,flat,sukhshanti apartment,sector 56,1.65,7006.0,3,3,3+,5.0,Moderately Old,2131.0,1,0,0,0,0,1,134
848,flat,signature global city,sector 37d,1.1,8800.0,3,3,3,1.0,Under Construction,1389.0,0,0,0,0,0,0,16
849,house,raj villas,sector 52,8.0,25543.0,6,5,3+,4.0,Moderately Old,3132.0,0,0,0,0,0,0,0
850,flat,shapoorji pallonji joyville gurugram,sector 102,2.12,11447.0,3,3,3,9.0,New Property,1571.0,0,0,0,0,0,0,109
851,house,independent,sector 14,3.4,15111.0,3,3,3,1.0,Old Property,2250.0,0,0,0,0,0,0,32
852,flat,sare homes,sector 92,0.95,4872.0,4,3,3,13.0,New Property,1765.0,0,0,0,0,0,0,0
853,flat,puri emerald bay,sector 104,1.32,8516.0,2,2,2,10.0,Relatively New,1403.0,0,0,0,0,0,0,128
854,flat,emaar mgf emerald floors premier,sector 65,2.3,13939.0,3,4,3,3.0,Relatively New,1833.0,1,1,1,1,0,2,174
855,flat,paras dews,sector 106,1.0,7220.0,2,2,3+,2.0,New Property,940.0,0,0,0,0,0,1,21
856,flat,signature global synera,sector 81,0.45,7525.0,2,2,2,6.0,Relatively New,664.0,0,0,1,0,0,1,39
857,house,independent,sector 25,10.5,29022.0,5,5,3,3.0,Moderately Old,3618.0,1,1,0,1,0,0,42
858,flat,pareena coban residences,sector 99a,1.38,7150.0,4,5,3+,1.0,Relatively New,2150.0,0,1,0,0,1,0,49
859,flat,la vida by tata housing,sector 113,2.78,11347.0,3,3,3,3.0,New Property,2599.0,1,1,0,0,0,0,174
860,flat,dlf park place,sector 54,6.75,24963.0,4,4,2,8.0,Moderately Old,2076.0,0,1,0,0,0,2,135
861,flat,suncity platinum towers,sector 28,6.2,23091.0,3,4,3+,21.0,Relatively New,2000.0,0,1,0,0,0,1,160
862,flat,shree vardhman flora,sector 90,0.9,4615.0,3,4,3,4.0,Relatively New,1765.0,0,1,0,0,0,0,165
863,flat,m3m heights,sector 65,2.86,13999.0,3,3,3,45.0,Under Construction,2267.0,0,1,0,0,0,0,48
864,flat,baani city center,sector 63,0.88,10945.0,1,1,2,4.0,New Property,804.0,0,0,0,0,0,0,0
865,flat,emaar mgf emerald estate,sector 65,1.42,13922.0,2,2,2,6.0,Relatively New,1010.0,1,0,0,0,0,1,174
866,house,sai kripa floors 5,sector 11,0.9,11250.0,5,5,3,3.0,Relatively New,800.0,0,0,0,0,0,0,0
867,flat,godrej air,sector 85,2.5,1379.0,4,5,3+,16.0,Under Construction,20136.0,1,0,0,1,1,1,44
868,flat,the lions cghs,sector 56,1.99,11056.0,4,4,3+,4.0,Old Property,2000.0,0,0,0,1,1,1,105
869,flat,umang monsoon breeze,sector 78,1.15,5285.0,3,3,3,9.0,Moderately Old,1969.0,0,1,0,0,1,0,22
870,house,independent,sector 26,5.8,12838.0,4,4,3+,4.0,Old Property,4518.0,0,0,0,0,0,0,38
871,flat,sare crescent parc,sector 92,0.82,5384.0,3,3,3+,12.0,Relatively New,1523.0,0,0,0,0,0,0,0
872,house,saksham welfare association,sector 22,4.7,19848.0,6,6,3+,2.0,Old Property,2368.0,0,0,1,1,0,1,106
873,flat,umang winter hills,sector 77,0.99,7857.0,2,2,2,1.0,Relatively New,1126.0,0,0,0,0,0,0,97
874,flat,dlf the ultima,sector 81,2.29,10926.0,3,4,3+,15.0,Relatively New,1900.0,0,1,0,0,0,2,103
875,house,independent,sector 4,4.12,8889.0,2,1,3+,2.0,Moderately Old,4635.0,0,0,0,0,0,0,0
876,flat,microtek greenburg,sector 86,1.25,8446.0,2,2,3,13.0,Moderately Old,1339.0,1,0,0,0,0,0,6
877,house,independent,sector 105,0.5,5556.0,2,2,0,1.0,Moderately Old,100.0,0,0,0,0,0,0,0
878,flat,suncity avenue 76,sector 76,0.75,10204.0,2,2,2,11.0,Under Construction,665.0,0,0,0,0,0,0,57
879,house,independent,sector 25,16.0,26667.0,6,5,2,3.0,Relatively New,6000.0,0,0,0,0,0,0,0
880,flat,gls arawali homes,sohna road,0.35,6076.0,2,2,2,12.0,New Property,521.0,0,0,0,0,0,0,42
881,flat,emaar palm gardens,sector 83,1.76,9263.0,3,3,3,5.0,Relatively New,1600.0,0,1,0,0,0,1,174
882,flat,sidhartha ncr one phase,sector 95,0.55,4867.0,2,2,2,14.0,New Property,1256.0,1,0,0,0,0,0,90
883,flat,sbtl caladium,sector 109,1.63,6405.0,3,3,2,8.0,Relatively New,2303.0,0,1,0,0,0,0,159
884,flat,sidhartha ncr one,sector 95,0.57,4179.0,2,2,2,10.0,Relatively New,1364.0,0,0,0,0,0,0,0
885,flat,raheja vedas,sector 108,2.15,4134.0,3,4,3+,12.0,Relatively New,4600.0,1,0,0,0,0,0,0
886,flat,emaar gurgaon greens,sector 102,1.42,8606.0,3,3,3,4.0,Relatively New,1314.0,0,0,0,0,1,0,49
887,house,independent,sector 12,2.75,12343.0,6,6,2,2.0,Old Property,2228.0,0,0,0,0,0,0,0
888,flat,orris carnation residency,sector 85,1.1,6687.0,3,4,3,6.0,Moderately Old,1467.0,0,1,0,0,0,2,65
889,flat,dlf regal gardens,sector 90,1.23,7053.0,3,3,2,19.0,Relatively New,1578.0,0,0,0,0,1,0,6
890,flat,prime habitat,sector 99a,0.27,6054.0,2,2,1,10.0,Relatively New,498.0,0,0,0,0,0,0,67
892,flat,ss the leaf,sector 85,1.93,8075.0,3,4,3,7.0,Relatively New,2400.0,0,1,0,0,0,0,174
893,flat,ss the coralwood,sector 84,1.1,4857.0,3,3,2,9.0,Relatively New,1584.0,0,0,0,0,0,0,75
894,flat,raheja sampada,sector 92,0.7,4453.0,3,3,0,7.0,Relatively New,1572.0,0,0,0,0,0,0,0
895,house,independent,sector 55,1.45,26852.0,4,4,3+,4.0,Relatively New,60.0,0,0,1,0,0,0,70
896,flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,2,2,3,0.0,Relatively New,1286.0,0,0,0,0,0,0,80
897,flat,ss the leaf,sector 85,1.1,9565.0,2,2,3,10.0,Relatively New,1600.0,0,0,0,1,0,0,150
