,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
1023,house,emaar mgf marbella,sector 66,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,3.0,East,New Property,,3240.0,,0,1,1,1,0,1,106
1024,house,independent,sector 50,13.2,27155.0,4861.0,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,,Undefined,,4861.0,,0,0,0,0,0,0,0
1025,house,independent,sector 21,0.45,8411.0,535.0,Carpet area: 535 (49.7 sq.m.),3,2,1,1.0,,Undefined,,,535.0,0,0,0,0,0,0,0
1026,flat,the close north,sector 50,2.65,10685.0,2480.0,Super Built up area 2480(230.4 sq.m.)Built Up area: 2470 sq.ft. (229.47 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,6.0,North,Moderately Old,2480.0,2470.0,2000.0,0,1,0,0,0,1,174
1027,house,dlf south city 1,sector 41,2.65,18929.0,1400.0,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,4.0,North-East,New Property,,1800.0,1400.0,0,1,0,0,0,1,22
1028,flat,ansal sushant residency,sector 57,1.5,6775.0,2214.0,Carpet area: 246 (205.69 sq.m.),3,2,3+,1.0,,Moderately Old,,,246.0,0,0,0,0,0,0,87
1029,flat,apna enclave,sector 3,0.55,5789.0,950.0,Super Built up area 950(88.26 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 744 sq.ft. (69.12 sq.m.),2,2,2,2.0,North-East,Old Property,950.0,900.0,744.0,0,0,0,0,0,0,66
1030,flat,experion the heartsong,sector 108,1.25,9259.0,1350.0,Super Built up area 1758(163.32 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,1.0,South-East,Relatively New,1758.0,1500.0,1350.0,0,1,0,1,0,0,174
1031,flat,corona gracieux,sector 76,0.75,5660.0,1325.0,Super Built up area 1325(123.1 sq.m.),2,2,3,13.0,,Relatively New,1325.0,,,0,0,0,0,0,1,0
1032,flat,la vida by tata housing,sector 113,3.72,13985.0,2660.0,Carpet area: 2660 (247.12 sq.m.),5,4,3+,0.0,,New Property,,,2660.0,0,0,0,1,0,2,44
1033,flat,bestech park view ananda,sector 81,0.87,7952.0,1094.0,Super Built up area 1360(126.35 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1094 sq.ft. (101.64 sq.m.),2,2,3,8.0,West,Relatively New,1360.0,1300.0,1094.0,0,0,0,0,0,0,95
1034,flat,satya the hermitage,sector 103,0.8,5517.0,1450.0,Built Up area: 1450 (134.71 sq.m.),2,2,0,10.0,,Undefined,,1450.0,,0,0,0,0,0,0,61
1035,flat,the close north,sector 50,2.92,11209.0,2605.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3,10.0,North,Moderately Old,2605.0,2600.0,2100.0,0,1,0,0,0,1,174
1036,house,independent,sector 9a,4.5,14286.0,3150.0,Plot area 14(354.1 sq.m.),9,9,3+,3.0,,Relatively New,,14.0,,1,0,0,1,1,1,38
1037,house,independent,sector 110,19.5,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,,7200.0,,1,1,0,1,0,0,122
1038,flat,ashiana anmol,sohna road,0.99,8216.0,1205.0,Super Built up area 1205(111.95 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,2,6.0,East,Under Construction,1205.0,,900.0,0,0,0,0,0,0,49
1039,flat,parsvnath exotica,sector 53,6.44,19003.0,3389.0,Super Built up area 3390(314.94 sq.m.),4,4,3,7.0,West,Moderately Old,3390.0,,,0,1,0,0,0,1,80
1040,house,independent,sector 28,0.45,10000.0,450.0,Built Up area: 50 (4.65 sq.m.),5,3,0,1.0,,Undefined,,50.0,,0,0,0,0,0,0,0
1041,flat,emaar digihomes,sector 62,2.1,14257.0,1473.0,Super Built up area 1508.26(140.12 sq.m.),2,2,2,30.0,North,New Property,1508.26,,,0,1,0,0,0,0,52
1042,flat,mapsko mount ville,sector 79,1.25,8389.0,1490.0,Super Built up area 1490(138.43 sq.m.)Built Up area: 1058 sq.ft. (98.29 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,18.0,South,Relatively New,1490.0,1058.0,863.91,1,0,0,0,0,1,102
1043,flat,bestech park view spa next,sector 67,2.35,12145.0,1935.0,Super Built up area 1935(179.77 sq.m.),3,4,3+,14.0,South-West,Moderately Old,1935.0,,,0,1,0,0,0,1,156
1044,flat,adani m2k oyster grande,sector 102,1.8,9529.0,1889.0,Super Built up area 1889(175.49 sq.m.),3,4,3,17.0,South-East,Relatively New,1889.0,,,0,1,0,0,0,0,49
1045,flat,bestech altura,sector 79,1.72,8398.0,2048.0,Built Up area: 2050 (190.45 sq.m.),3,4,3,9.0,East,New Property,,2050.0,,0,0,0,0,0,0,49
1046,house,satya the legend,sector 57,9.25,16577.0,5580.0,Plot area 642(536.79 sq.m.)Built Up area: 630 sq.yards (526.76 sq.m.)Carpet area: 620 sq.yards (518.4 sq.m.),5,5,3+,4.0,North-East,Relatively New,,630.0,620.0,1,1,1,1,0,1,160
1047,flat,antriksh heights,sector 84,0.54,4459.0,1211.0,Super Built up area 1200(111.48 sq.m.),2,2,3+,17.0,North-West,Relatively New,1200.0,,,0,0,0,0,0,0,81
1048,flat,godrej icon,sector 88a,1.65,9041.0,1825.0,Super Built up area 1825(169.55 sq.m.),3,3,3,12.0,,New Property,1825.0,,,0,0,0,0,0,0,60
1049,flat,sare crescent parc royal greens phase 1,sector 92,0.95,5008.0,1897.0,Super Built up area 1897(176.24 sq.m.),4,5,3+,4.0,,Moderately Old,1897.0,,,0,1,0,0,0,0,37
1050,flat,pyramid urban homes 2,sector 86,0.41,8283.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,7.0,West,New Property,,,501.0,1,1,0,1,1,0,49
1051,flat,smart world gems,sector 89,0.95,8597.0,1105.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,,New Property,,,1103.0,1,1,0,0,0,0,38
1052,flat,shree vardhman victoria,sector 70,1.64,8384.0,1956.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,3.0,North,Relatively New,1950.0,,1161.0,0,1,0,0,0,0,51
1053,house,independent,sector 7,2.25,16892.0,1332.0,Built Up area: 148 (123.75 sq.m.),5,3,0,2.0,,Undefined,,148.0,,0,0,0,0,0,0,0
1054,flat,indiabulls enigma,sector 110,3.45,10147.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,4,3,9.0,North,Moderately Old,3400.0,,,0,1,0,0,0,1,125
1055,flat,lotus homz,sector 111,0.6,8451.0,710.0,Carpet area: 710 (65.96 sq.m.),2,2,3,9.0,East,New Property,,,710.0,0,0,0,0,0,0,52
1056,flat,m3m golfestate,sector 65,6.1,18139.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,19.0,North-East,Moderately Old,3363.0,,2710.0,1,1,0,0,0,1,174
1057,flat,tata primanti,sector 72,3.9,13425.0,2905.0,Super Built up area 2905(269.88 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),4,4,3+,39.0,East,Relatively New,2905.0,,2150.0,0,1,0,0,1,0,49
1058,flat,puri emerald bay,sector 104,1.5,9677.0,1550.0,Super Built up area 1550(144 sq.m.),2,2,2,7.0,,Under Construction,1550.0,,,0,0,0,0,1,0,43
1059,flat,jammu and kashmir bank employees cghs,sector 9a,0.94,6065.0,1550.0,Carpet area: 1550 (144 sq.m.),3,3,2,5.0,East,Moderately Old,,,1550.0,0,0,0,0,0,1,85
1060,flat,indiabulls centrum park,sector 103,2.45,8522.0,2875.0,Super Built up area 2875(267.1 sq.m.),4,4,3,11.0,East,Relatively New,2875.0,,,1,1,1,1,0,0,38
1061,flat,indiabulls enigma,sector 110,3.7,10882.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,5,3,7.0,South-West,Relatively New,3400.0,,,0,1,0,0,0,0,156
1062,house,independent,sector 4,0.7,6648.0,1053.0,Built Up area: 117 (97.83 sq.m.),3,3,0,1.0,,Undefined,,117.0,,0,0,0,0,0,0,0
1063,flat,chd avenue,sector 71,0.79,6594.0,1198.0,Super Built up area 1198(111.3 sq.m.),2,2,2,8.0,South-East,Relatively New,1198.0,,,0,0,0,0,1,0,0
1064,flat,ats tourmaline,sector 109,1.5,8571.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),3,3,3+,7.0,North-East,Relatively New,1750.0,1466.0,,0,0,0,0,0,0,165
1065,house,independent,sector 11,1.8,8079.0,2228.0,Carpet area: 2228 (206.99 sq.m.),8,5,2,1.0,South,Undefined,,,2228.0,0,0,0,0,0,0,0
1066,flat,m3m golfestate,sector 65,5.9,17481.0,3375.0,Super Built up area 3363(312.43 sq.m.),3,3,3,18.0,North,Relatively New,3363.0,,,1,1,0,0,0,0,76
1067,house,nirvana country,sector 50,10.0,14286.0,7000.0,Built Up area: 7000 (650.32 sq.m.),5,7,2,4.0,East,Moderately Old,,7000.0,,0,1,0,0,0,2,0
1068,flat,ambience creacions,sector 22,4.78,15469.0,3090.0,Super Built up area 3090(287.07 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3,7.0,West,Relatively New,3090.0,2500.0,2250.0,0,1,0,0,1,2,111
1069,house,nul,sector 25,15.0,23438.0,6400.0,Built Up area: 6400 (594.58 sq.m.),5,5,3,2.0,West,Moderately Old,,6400.0,,1,1,0,1,0,1,112
1070,flat,landmark the residency,sector 103,0.9,6667.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,2,1.0,South-West,Relatively New,1350.0,,,0,0,0,0,0,0,44
1071,house,smart world orchard,sector 61,2.01,13001.0,1546.0,Plot area 1549(143.91 sq.m.),3,3,3,4.0,North,Under Construction,,1549.0,,0,0,0,0,0,0,145
1072,house,independent,sector 54,3.51,12342.0,2844.0,Plot area 316(264.22 sq.m.),4,4,3,4.0,North,New Property,,2844.0,,0,1,0,0,0,0,73
1073,house,independent,sector 110,0.34,6800.0,500.0,Built Up area: 500 (46.45 sq.m.),1,1,0,1.0,,Undefined,,500.0,,0,0,0,0,0,0,0
1074,house,international city by sobha phase 1,sector 109,6.0,9634.0,6228.0,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South-West,Relatively New,,6228.0,,1,1,1,1,0,0,160
1075,flat,shree vardhman flora,sector 90,0.7,5178.0,1352.0,Super Built up area 1352(125.6 sq.m.),2,2,3,9.0,East,New Property,1352.0,,,1,0,0,0,0,0,97
1076,flat,la vida by tata housing,sector 113,2.4,10825.0,2217.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 1940 sq.ft. (180.23 sq.m.)Carpet area: 1730 sq.ft. (160.72 sq.m.),3,4,3+,5.0,North-East,Relatively New,2217.0,1940.0,1730.0,0,1,0,0,0,0,49
1077,flat,vatika the seven lamps,sector 82,1.28,6819.0,1877.0,Super Built up area 1877(174.38 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,3.0,North,Relatively New,1877.0,1800.0,1500.0,1,0,0,0,0,1,165
1078,flat,tulip violet,sector 69,1.5,10714.0,1400.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,8.0,North-East,Relatively New,1578.0,,1400.0,0,0,0,1,0,1,174
1079,flat,microtek greenburg,sector 86,1.45,9797.0,1480.0,Built Up area: 1480 (137.5 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,2,3,8.0,North-East,Relatively New,,1480.0,1050.0,0,0,0,0,0,2,72
1080,flat,umang winter hills,sector 77,0.86,6408.0,1342.0,Super Built up area 1342(124.68 sq.m.),2,2,2,16.0,,New Property,1342.0,,,0,0,0,0,0,1,79
1081,flat,ss the leaf,sector 85,2.0,8306.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,East,Relatively New,2408.0,,,0,1,0,0,0,0,21
1082,flat,supertech araville,sector 79,0.71,6063.0,1171.0,Super Built up area 1295(120.31 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3+,17.0,North,New Property,1295.0,,1250.0,0,0,0,0,1,0,53
1083,flat,dlf the primus,sector 82a,1.85,10176.0,1818.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3,15.0,East,Moderately Old,1818.0,,1538.0,0,0,0,0,1,0,38
1084,flat,emaar mgf emerald floors premier,sector 65,2.9,14684.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,0,0.0,North,Relatively New,,,1975.0,0,0,1,0,0,0,50
1085,flat,dlf the arbour,sector 63,7.8,19747.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,6.0,,Undefined,,3950.0,,0,0,0,0,0,0,61
1086,flat,emaar gurgaon greens,sector 102,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7.0,East,Relatively New,1650.0,,1022.58,0,1,0,0,0,0,128
1087,flat,m3m sierra 68,sector 68,1.13,9076.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,3,9.0,West,Relatively New,1245.0,1130.0,930.0,0,0,0,0,0,1,149
1088,house,independent,sector 43,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately Old,,3510.0,,0,1,0,0,0,0,7
1089,flat,prime habitat,sector 99a,0.27,5433.0,497.0,Carpet area: 497 (46.17 sq.m.),2,2,1,4.0,North-East,New Property,,,497.0,0,0,0,0,0,0,7
1090,flat,residency grand,sector 52,5.0,9615.0,5200.0,Built Up area: 5200 (483.1 sq.m.),5,5,3+,2.0,East,Undefined,,5200.0,,0,0,0,0,0,0,0
1091,flat,the close south,sector 50,3.1,12445.0,2491.0,Super Built up area 2491(231.42 sq.m.)Built Up area: 2450 sq.ft. (227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3+,4.0,North-East,Moderately Old,2491.0,2450.0,2250.0,0,1,0,0,0,1,165
1092,flat,sare homes,sector 92,0.68,5239.0,1298.0,Carpet area: 1298 (120.59 sq.m.),3,3,2,11.0,North-West,Relatively New,,,1298.0,0,0,0,1,0,0,100
1093,flat,bestech park view grand spa,sector 81,4.7,6786.0,6926.0,Super Built up area 6926(643.45 sq.m.),4,4,3+,19.0,North,Relatively New,6926.0,,,0,1,0,0,0,1,140
1094,flat,shree vardhman victoria,sector 70,1.75,8974.0,1950.0,Built Up area: 1950 (181.16 sq.m.),3,4,2,16.0,,Relatively New,,1950.0,,0,1,0,1,0,0,49
1095,house,independent,sector 2,6.0,20000.0,3000.0,Built Up area: 333 (278.43 sq.m.),4,4,1,2.0,,Relatively New,,333.0,,0,0,0,0,0,0,0
1096,flat,the nav manesar apartment,sector 1,0.85,3953.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,3,3+,5.0,North-East,Moderately Old,2150.0,,,0,1,0,0,0,0,5
1097,house,dlf city plots phase 2,sector 25,6.3,35000.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,,1800.0,,0,1,1,0,0,0,89
1098,flat,smart world orchard,sector 61,1.47,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2.0,,Under Construction,,,1200.0,1,0,0,0,0,0,76
1099,flat,suncity vatsal valley,gwal pahari,1.38,12212.0,1130.0,Built Up area: 1130 (104.98 sq.m.),2,2,2,4.0,East,Under Construction,,1130.0,,0,0,0,0,0,0,133
1100,flat,unitech south park,sector 70,1.13,7001.0,1614.0,Super Built up area 1610(149.57 sq.m.),3,3,2,1.0,,Under Construction,1610.0,,,0,0,0,0,0,0,46
1101,flat,la vida by tata housing,sector 113,1.45,11364.0,1276.0,Super Built up area 1276(118.54 sq.m.)Carpet area: 904.01 sq.ft. (83.99 sq.m.),2,2,2,6.0,South,Relatively New,1276.0,,904.01,0,0,0,0,0,0,80
1102,flat,godrej,sector 79,1.41,8998.0,1567.0,Carpet area: 1572 (146.04 sq.m.),2,2,3,3.0,,New Property,,,1572.0,1,0,0,0,0,0,104
1103,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately Old,,4518.0,,1,1,0,0,1,1,104
1104,house,shivpuri,sector 7,2.8,12444.0,2250.0,Plot area 2250(209.03 sq.m.),10,7,3,1.0,,Old Property,,2250.0,,1,1,0,1,1,1,0
1105,flat,suncity heights,sector 54,3.85,16446.0,2341.0,Super Built up area 2341(217.49 sq.m.),3,3,3+,8.0,,Old Property,2341.0,,,0,1,0,0,0,0,67
1106,flat,pareena laxmi apartments,sector 99a,0.32,6107.0,524.0,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),2,2,2,2.0,,New Property,524.0,,424.8,0,0,0,0,0,0,50
1107,house,independent,sector 105,1.2,10118.0,1186.0,Plot area 1185.51(110.14 sq.m.),6,2,1,2.0,North-West,Old Property,,1185.51,,0,0,0,0,0,0,9
1108,house,independent,sector 9,0.22,7407.0,297.0,Carpet area: 33 (27.59 sq.m.),2,2,2,1.0,,Undefined,,,33.0,0,0,0,0,0,0,0
1109,house,sushant lok 1 builder floors,sector 43,6.25,30728.0,2034.0,Plot area 226(188.96 sq.m.),7,7,3+,3.0,North,Moderately Old,,2034.0,,1,1,1,0,0,0,46
1110,flat,signature global solera,sector 107,0.49,8221.0,596.0,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.),2,2,1,8.0,South-West,Relatively New,602.0,598.0,,0,0,0,0,1,2,49
1112,flat,m3m woodshire,sector 107,0.82,6003.0,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,7.0,North-East,Relatively New,1366.0,,,0,0,0,0,0,0,111
1113,flat,global hill view,sector 11,0.33,4269.0,773.0,Built Up area: 761 (70.7 sq.m.),2,2,0,11.0,,Undefined,,761.0,,0,0,0,0,0,0,0
1114,flat,ashiana mulberry,sohna road,0.95,6485.0,1465.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2,2,3+,3.0,,New Property,1465.0,1175.97,834.96,1,0,0,0,0,0,89
1115,flat,m3m golfestate,sector 65,6.15,15999.0,3844.0,Carpet area: 3844 (357.12 sq.m.),3,5,3+,1.0,West,Relatively New,,,3844.0,0,1,0,0,0,2,49
1116,flat,hero homes,sector 104,1.4,15819.0,885.0,Super Built up area 1389(129.04 sq.m.)Carpet area: 884.58 sq.ft. (82.18 sq.m.),3,2,2,4.0,North,Under Construction,1389.0,,884.58,0,0,0,0,0,0,49
1117,flat,shree vardhman flora,sector 90,0.65,5000.0,1300.0,Super Built up area 1300(120.77 sq.m.),2,2,2,12.0,East,Old Property,1300.0,,,1,0,0,0,0,0,103
1118,flat,bptp astaire gardens,sector 70a,1.2,7059.0,1700.0,Super Built up area 1700(157.94 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,2.0,,Relatively New,1700.0,1450.0,,0,0,0,0,0,2,38
1119,flat,mapsko mount ville,sector 79,1.28,8556.0,1496.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 1063.91 sq.ft. (98.84 sq.m.),3,3,3,16.0,South,Relatively New,1490.0,,1063.91,1,0,0,0,0,1,128
1120,flat,dlf the ultima,sector 81,2.4,11257.0,2132.0,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,10.0,North-West,Relatively New,2132.0,1800.0,1400.0,0,1,0,0,0,2,174
1121,flat,puri emerald bay,sector 104,2.49,10163.0,2450.0,Super Built up area 2450(227.61 sq.m.),3,3,3+,14.0,South,Relatively New,2450.0,,,0,1,0,0,0,1,129
1122,flat,m3m merlin,sector 67,3.5,14583.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),3,4,3,17.0,South-East,Relatively New,2400.0,,2050.0,0,1,1,0,0,1,167
1123,flat,bptp pedestal,sector 70a,1.6,10159.0,1575.0,Carpet area: 1575 (146.32 sq.m.),3,3,3,2.0,North-East,New Property,,,1575.0,0,1,0,0,1,0,77
1124,flat,vatika sovereign park,sector 99,3.2,9922.0,3225.0,Built Up area: 3225 (299.61 sq.m.),4,4,0,5.0,North-East,Under Construction,,3225.0,,0,0,0,0,0,0,23
1126,flat,ambience creacions,sector 22,2.4,17391.0,1380.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,2,8.0,South-East,Relatively New,1380.0,1200.0,900.0,0,0,0,0,1,2,112
1127,flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,1935.0,Super Built up area 215(179.77 sq.m.),3,3,2,2.0,,New Property,215.0,,,0,0,0,0,0,0,0
1128,flat,the close north,sector 50,2.75,12500.0,2200.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,3.0,South-East,Moderately Old,2605.0,2400.0,2200.0,0,1,0,0,0,0,110
1129,flat,satya the hermitage,sector 103,0.99,6653.0,1488.0,Super Built up area 1991(184.97 sq.m.)Carpet area: 1495 sq.ft. (138.89 sq.m.),3,4,3+,2.0,North-East,Relatively New,1991.0,,1495.0,0,1,0,1,0,0,174
1130,flat,ats tourmaline,sector 109,1.75,8140.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,2.0,North,Relatively New,2150.0,,,0,1,0,0,1,0,65
1131,flat,chd avenue,sector 71,1.3,5532.0,2350.0,Super Built up area 2350(218.32 sq.m.),4,4,3,5.0,North-East,Moderately Old,2350.0,,,0,1,0,0,0,0,126
1132,house,independent,sector 14,4.5,20000.0,2250.0,Carpet area: 2500 (232.26 sq.m.),5,5,1,1.0,,Relatively New,,,2500.0,0,0,0,0,0,0,0
1133,house,jacob pura,sector 12,0.35,9722.0,360.0,Built Up area: 360 (33.45 sq.m.),2,1,0,,,Old Property,,360.0,,0,0,0,0,0,0,0
1135,house,sheetla enclave,sector 5,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),7,4,2,3.0,,Moderately Old,,945.0,,0,0,1,1,0,1,0
1136,flat,ss the leaf,sector 85,1.04,5974.0,1741.0,Super Built up area 1741(161.74 sq.m.),2,3,3+,4.0,West,Relatively New,1741.0,,,0,0,1,0,0,0,113
1137,flat,emaar palm gardens,sector 83,1.8,9474.0,1900.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,6.0,South,Relatively New,1900.0,,1240.04,0,1,0,0,0,1,97
1138,flat,ss the leaf,sector 85,1.58,7715.0,2048.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 2048 sq.ft. (190.27 sq.m.),3,4,3,8.0,East,Relatively New,2408.0,,2048.0,0,1,0,0,0,0,159
1139,flat,emaar mgf the palm drive,sector 66,3.0,14286.0,2100.0,Super Built up area 2100(195.1 sq.m.),4,5,3+,10.0,East,Relatively New,2100.0,,,0,1,0,0,0,1,49
1140,flat,aipl zen residences,sector 70a,1.4,11094.0,1262.0,Built Up area: 1262 (117.24 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,2,16.0,North-East,Undefined,,1262.0,800.0,0,0,0,0,0,0,0
1141,flat,tata primanti,sector 72,3.85,13253.0,2905.0,Super Built up area 2905(269.88 sq.m.),4,5,3+,13.0,North,Relatively New,2905.0,,,0,1,0,0,0,1,174
1143,flat,mapsko royale ville,sector 82,1.12,8000.0,1400.0,Super Built up area 1790(166.3 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,4,2,6.0,North-West,Relatively New,1790.0,1500.0,1400.0,0,1,0,1,0,0,174
1144,house,rwa sector 46,sector 46,4.5,24390.0,1845.0,Plot area 204(170.57 sq.m.)Built Up area: 206 sq.yards (172.24 sq.m.)Carpet area: 205 sq.yards (171.41 sq.m.),6,6,3+,3.0,North-East,Moderately Old,,206.0,205.0,0,0,1,0,0,1,80
1145,flat,gls arawali homes,sohna road,0.27,4600.0,587.0,Super Built up area 576(53.51 sq.m.),2,2,2,5.0,,New Property,576.0,,,0,0,0,0,0,0,42
1146,flat,signature the roselia,sector 95,0.48,7164.0,670.0,Carpet area: 670 (62.25 sq.m.),2,2,2,6.0,,Relatively New,,,670.0,0,0,0,0,0,0,16
1147,flat,hsiidc sidco aravali,manesar,0.9,3478.0,2588.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3,2.0,,Old Property,2588.0,1900.0,,0,1,0,0,0,2,21
1148,house,unitech espace,sector 50,7.35,41761.0,1760.0,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately Old,,240.0,,0,1,0,1,0,1,52
1149,flat,shapoorji pallonji joyville gurugram,sector 102,1.99,20665.0,963.0,Super Built up area 1349(125.33 sq.m.)Carpet area: 963 sq.ft. (89.47 sq.m.),2,2,2,14.0,South,New Property,1349.0,,963.0,0,0,0,0,0,0,152
1150,flat,emaar mgf emerald floors premier,sector 65,3.0,15190.0,1975.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,2.0,South-East,Relatively New,1975.0,,,0,1,0,0,0,0,87
1151,flat,pioneer araya,sector 62,9.14,19488.0,4690.0,Super Built up area 4690(435.72 sq.m.)Carpet area: 3258 sq.ft. (302.68 sq.m.),4,6,3,16.0,East,Relatively New,4690.0,,3258.0,1,1,1,0,0,1,146
1152,flat,breez global heights,sohna road,0.4,6689.0,598.0,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2,2,2,7.0,,Relatively New,950.0,,597.53,0,0,0,0,0,0,57
1153,flat,sare crescent parc,sector 92,0.8,6033.0,1326.0,Carpet area: 1326 (123.19 sq.m.),3,2,2,3.0,North-East,Relatively New,,,1326.0,0,0,0,0,0,0,15
1154,flat,hcbs sports ville,sohna road,0.22,4603.0,478.0,Built Up area: 477.85 (44.39 sq.m.)Carpet area: 321.6 sq.ft. (29.88 sq.m.),1,1,1,9.0,East,Relatively New,,477.809521,321.6,0,0,0,0,0,1,44
1155,flat,tulip violet,sector 69,1.68,8358.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,7.0,North,Relatively New,2010.0,,,0,0,0,0,0,0,127
1156,flat,signature global park,sohna road,0.65,7908.0,822.0,Carpet area: 822 (76.37 sq.m.),2,1,2,3.0,,New Property,,,822.0,0,0,0,0,0,0,87
1157,house,shivaji nagar residential,sector 11,3.08,11407.0,2700.0,Built Up area: 2700 (250.84 sq.m.),6,4,2,1.0,,Undefined,,2700.0,,0,0,0,0,0,0,0
