,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2903,flat,bestech park view ananda,sector 81,1.45,8735.0,1660.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3,2,3+,3.0,,Relatively New,1660.0,,1082.0,0,0,0,0,1,0,45
2904,house,vipul tatvam villa,sector 48,5.5,21219.0,2592.0,Plot area 288(240.8 sq.m.),3,6,2,2.0,North,Moderately Old,,2592.0,,0,1,0,0,1,1,106
2905,flat,emaar mgf emerald floors premier,sector 65,2.8,16970.0,1650.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3,2.0,North,Relatively New,1975.0,1800.0,1650.0,1,0,0,0,0,1,89
2906,flat,paras dews,sector 106,1.15,7419.0,1550.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,11.0,North-East,Relatively New,1760.0,1650.0,1550.0,0,1,0,1,0,1,174
2907,flat,emaar mgf emerald floors premier,sector 65,2.25,13636.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3+,3.0,South,Relatively New,1650.0,,,1,1,0,0,0,0,152
2908,flat,godrej,sector 79,1.35,8970.0,1505.0,Super Built up area 1505(139.82 sq.m.),3,3,2,7.0,South-West,Relatively New,1505.0,,,0,0,0,0,0,0,118
2909,flat,tulip violet,sector 69,1.66,8409.0,1974.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,South-East,Relatively New,1970.0,,,0,0,0,1,0,0,102
2910,flat,bptp astaire gardens,sector 70a,1.8,9351.0,1925.0,Built Up area: 1925 (178.84 sq.m.),3,3,3,3.0,North-West,Relatively New,,1925.0,,1,0,0,0,0,0,135
2911,house,vatika sovereign next,sector 82a,3.85,7500.0,5133.0,Built Up area: 5140 (477.52 sq.m.),5,6,3+,6.0,,Undefined,,5140.0,,0,0,0,0,0,0,53
2912,flat,mahindra aura,sector 110,1.8,8815.0,2042.0,Super Built up area 2042(189.71 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3+,7.0,South-East,Relatively New,2042.0,1850.0,1650.0,0,1,0,0,0,1,136
2913,flat,,sector 78,0.6,3692.0,1625.0,Built Up area: 1625 (150.97 sq.m.),2,2,0,,,Under Construction,,1625.0,,0,0,0,0,0,0,0
2914,flat,mvn athens,sohna road,0.27,5895.0,458.0,Carpet area: 457.81 (42.53 sq.m.),2,2,1,4.0,South-East,Relatively New,,,457.788667,0,0,0,0,1,1,35
2915,house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,North-East,Moderately Old,,1800.0,,1,1,1,1,0,0,61
2916,flat,ireo the corridors,sector 67a,1.4,9434.0,1484.0,Super Built up area 1484(137.87 sq.m.)Carpet area: 860 sq.ft. (79.9 sq.m.),2,2,2,8.0,North,Relatively New,1484.0,,860.0,1,0,0,0,1,0,90
2917,flat,dnha cghs,sector 1,0.85,3864.0,2200.0,Built Up area: 2200 (204.39 sq.m.),3,3,0,5.0,,Undefined,,2200.0,,0,0,0,0,0,0,0
2918,flat,capital residences 360,sector 70a,1.15,11500.0,1000.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,4.0,East,New Property,1450.0,1400.0,1000.0,0,0,0,1,0,0,132
2919,flat,shapoorji pallonji joyville gurugram,sector 102,1.2,14563.0,824.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 824 sq.ft. (76.55 sq.m.),2,2,3,0.0,North-East,Relatively New,1359.0,,824.0,0,0,0,0,0,0,49
2920,flat,dlf garden city floors,sector 92,1.7,8586.0,1980.0,Super Built up area 1630(151.43 sq.m.),3,4,2,1.0,,Under Construction,1630.0,,,0,0,0,0,0,0,63
2921,house,housing board colony,sector 28,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),8,8,3+,4.0,South-East,Moderately Old,,900.0,,0,0,0,0,1,1,38
2922,flat,smart world orchard,sector 61,1.5,12500.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2.0,North,Under Construction,,,1200.0,1,0,0,0,0,0,49
2923,flat,dlf regency park,sector 28,1.24,12400.0,1000.0,Super Built up area 1150(106.84 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3+,19.0,South,Moderately Old,1150.0,1050.0,1000.0,0,0,0,1,0,1,157
2924,flat,vatika city,sector 49,1.69,8622.0,1960.0,Carpet area: 1960 (182.09 sq.m.),3,3,3,3.0,North,Moderately Old,,,1960.0,0,0,0,1,0,0,136
2925,flat,godrej,sector 79,1.18,8532.0,1383.0,Super Built up area 1383(128.48 sq.m.),2,2,3,7.0,North-West,Relatively New,1383.0,,,0,0,0,0,0,0,158
2926,house,independent,sector 3,0.68,3875.0,1755.0,Built Up area: 1755 (163.04 sq.m.),5,3,0,1.0,,Undefined,,1755.0,,0,0,0,0,0,0,0
2927,flat,the pearl apartmen,sector 15,0.43,5584.0,770.0,Carpet area: 770 (71.54 sq.m.),2,2,1,2.0,,Relatively New,,,770.0,0,0,0,0,0,1,28
2928,flat,sidhartha ncr one,sector 110,0.55,5556.0,990.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15.0,North-East,Undefined,,990.0,950.0,0,0,0,0,0,0,0
2929,house,ansal florence super,sector 57,3.75,23148.0,1620.0,Plot area 180(150.5 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),3,4,3,2.0,,Moderately Old,,,300.0,1,1,1,0,0,1,38
2930,flat,ramsons kshitij,sector 95,0.3,3158.0,950.0,Built Up area: 950 (88.26 sq.m.)Carpet area: 552 sq.ft. (51.28 sq.m.),2,2,1,11.0,,Undefined,,950.0,552.0,0,0,0,0,0,0,0
2931,flat,bptp terra,sector 37d,1.77,8079.0,2191.0,Super Built up area 2191(203.55 sq.m.)Carpet area: 1860 sq.ft. (172.8 sq.m.),4,3,3,15.0,North,Relatively New,2191.0,,1860.0,1,1,0,1,1,0,49
2932,flat,eldeco accolade,sohna road,0.72,4976.0,1447.0,Super Built up area 1457(135.36 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,12.0,East,Relatively New,1457.0,,849.0,1,0,0,0,0,0,152
2933,flat,paras dews,sector 106,1.15,6534.0,1760.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,12.0,East,Relatively New,1760.0,1186.0,1130.0,1,1,0,0,0,1,174
2934,flat,signature the roselia,sector 95,0.41,6193.0,662.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569.25 sq.ft. (52.89 sq.m.),2,2,2,12.0,North,New Property,,670.0,569.25,1,0,0,0,0,1,90
2935,flat,la vida by tata housing,sector 113,1.38,12000.0,1150.0,Super Built up area 1573(146.14 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,3,8.0,South-West,New Property,1573.0,1350.0,1150.0,1,0,0,0,0,0,174
2936,house,independent,sector 4,0.6,11696.0,513.0,Plot area 57(5.3 sq.m.),3,3,1,2.0,,Old Property,,57.0,,0,0,0,0,1,0,0
2937,flat,sobha city,sector 108,2.33,14463.0,1611.0,Built Up area: 1711 (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,17.0,North-East,Relatively New,,1711.0,1611.0,0,0,1,0,0,1,159
2938,flat,ss the leaf,sector 85,1.85,6579.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,1.0,North-West,Relatively New,2812.0,,,0,0,0,0,0,0,95
2939,flat,deepak minda,manesar,1.25,4715.0,2651.0,Carpet area: 2651 (246.29 sq.m.),4,4,3+,6.0,,Moderately Old,,,2651.0,0,0,0,0,0,1,44
2940,flat,adani aangan arcade,sector 88a,0.45,7188.0,626.0,Carpet area: 625.47 (58.11 sq.m.),2,2,1,8.0,,New Property,,,625.490229,0,0,0,0,0,0,14
2941,flat,mahindra luminare,sector 59,5.8,19174.0,3025.0,Carpet area: 3025 (281.03 sq.m.),3,4,3,16.0,North-East,New Property,,,3025.0,0,1,0,0,0,1,49
2942,flat,chd avenue,sector 71,1.12,6215.0,1802.0,Super Built up area 1802(167.41 sq.m.),3,4,3,0.0,South-East,Moderately Old,1802.0,,,0,1,0,0,0,0,65
2943,flat,bestech park view residency,sector 2,0.56,8629.0,649.0,Carpet area: 651 (60.48 sq.m.),1,2,2,7.0,North-East,Moderately Old,,,651.0,0,0,0,0,0,0,92
2944,house,independent,sector 2,4.95,20370.0,2430.0,Plot area 270(225.75 sq.m.),6,5,3+,3.0,West,Relatively New,,2430.0,,0,1,0,0,0,0,91
2945,flat,sare homes,sector 92,1.19,5219.0,2280.0,Carpet area: 2280 (211.82 sq.m.),4,3,3,14.0,North,Relatively New,,,2280.0,0,1,0,0,0,0,100
2946,flat,smart world orchard,sector 61,1.47,12783.0,1150.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,East,Under Construction,,,1150.0,1,0,0,0,0,0,31
2947,flat,signature global park,sohna road,0.54,6506.0,830.0,Carpet area: 830 (77.11 sq.m.),2,2,1,2.0,,Relatively New,,,830.0,0,0,0,0,0,0,16
2948,flat,sare green parc phase 3,sector 92,0.95,4857.0,1956.0,Super Built up area 1956(181.72 sq.m.),4,3,3,4.0,North,Moderately Old,1956.0,,,0,0,0,0,0,0,67
2950,flat,antriksh heights,sector 84,0.73,6083.0,1200.0,Super Built up area 1200(111.48 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),2,2,3+,4.0,North-West,Relatively New,1200.0,,870.0,1,0,1,1,0,0,158
2951,flat,dlf the arbour,sector 63,7.9,20000.0,3950.0,Built Up area: 3950 (366.97 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4,4,3+,34.0,,Under Construction,,3950.0,2900.0,0,0,0,0,0,0,61
2952,flat,umang monsoon breeze,sector 78,0.88,4746.0,1854.0,Super Built up area 1854(172.24 sq.m.)Built Up area: 1668 sq.ft. (154.96 sq.m.)Carpet area: 1501 sq.ft. (139.45 sq.m.),3,4,3,8.0,North-West,Moderately Old,1854.0,1668.0,1501.0,0,1,0,1,0,0,111
2953,flat,sunischit apartments,sector 54,1.75,7955.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3+,6.0,North-East,Moderately Old,2200.0,2100.0,2000.0,0,1,0,0,0,1,126
2955,house,independent,sector 108,1.7,5667.0,3000.0,Built Up area: 3000 (278.71 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4,4,3+,1.0,North-East,Undefined,,3000.0,2600.0,0,0,0,0,0,0,0
2956,flat,chintels paradiso,sector 109,1.8,8867.0,2030.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,0.0,East,Moderately Old,2030.0,,1785.0,0,1,0,0,0,0,83
2958,house,grover homes sec 4,sector 4,4.75,9374.0,5067.0,Plot area 563(470.74 sq.m.),5,5,1,1.0,South-East,Old Property,,5067.0,,1,1,0,1,0,1,35
2960,flat,dlf the primus,sector 82a,2.6,11439.0,2273.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4,4,3+,2.0,East,Relatively New,2273.0,,1340.0,0,0,0,0,1,0,38
2961,flat,central park flower valley aqua front towers,sector 33,1.7,9503.0,1789.0,Super Built up area 1789(166.2 sq.m.),3,3,3,12.0,,Under Construction,1789.0,,,0,0,0,0,0,0,24
2962,house,dlf new town heights,sector 86,2.47,7719.0,3200.0,Plot area 3200(297.29 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3+,,West,Moderately Old,,2800.0,2200.0,0,1,0,1,0,1,130
2963,flat,indiabulls enigma,sector 110,3.6,10588.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,5,3,7.0,North,Relatively New,3400.0,,,0,1,0,0,0,0,165
2964,house,independent,sector 27,8.0,26298.0,3042.0,Plot area 338(282.61 sq.m.),9,9,3,4.0,North-East,Relatively New,,3042.0,,1,1,1,1,0,2,110
2966,flat,indiabulls enigma,sector 110,4.49,11572.0,3880.0,Super Built up area 3880(360.46 sq.m.),5,5,3+,4.0,North-East,Relatively New,3880.0,,,0,1,0,0,0,0,165
2967,house,independent,sector 28,11.25,34722.0,3240.0,Plot area 360(301.01 sq.m.),9,9,3+,2.0,North,Moderately Old,,3240.0,,0,1,1,1,0,1,126
2969,flat,aipl the peaceful homes,sector 70a,2.4,11163.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,3,3,11.0,South-West,Relatively New,2150.0,,,0,1,0,0,0,0,108
2970,flat,ats kocoon,sector 109,1.6,9169.0,1745.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3,3,3,10.0,North,Relatively New,1745.0,1550.0,,0,0,0,0,0,0,86
2971,flat,dlf regal gardens,sector 90,1.79,8081.0,2215.0,Carpet area: 2215 (205.78 sq.m.),4,3,3+,10.0,North-East,Moderately Old,,,2215.0,0,0,0,0,0,0,63
2972,flat,sare crescent parc royal greens phase 1,sector 92,0.5,5000.0,1000.0,Built Up area: 1000 (92.9 sq.m.)Carpet area: 999 sq.ft. (92.81 sq.m.),2,2,3,2.0,North-East,Undefined,,1000.0,999.0,0,0,0,0,0,0,0
2973,house,international city by sobha phase 2,sector 109,6.8,12593.0,5400.0,Plot area 600(501.68 sq.m.),4,5,3,2.0,North-West,Relatively New,,5400.0,,0,1,0,0,0,0,49
